Token,NER_label
افراد,O
نحوه,O
رفسنجان,B_LOC
برجامی,O
برای,O
بد,O
شب,I_DAT
مازندران,B_LOC
تشکر,O
کشورهای,O
بندرعباس,B_mainLOC
با,O
و,O
گروه,O
شهادت,B_EVE
ارومیه,B_LOC
دوشنبه,I_DAT
شبستان,I_ORG
مرگ,O
عمل,O
سازمان,B_ORG
المپیک,I_ORG
مردم,O
راد,I_PER
رضا,B_PER
پایان,O
شورای,B_ORG
کابینه,B_ORG
شد,O
سیاست,I_ORG
اروپایی,I_LOC
کشف,B_EVE
الشریف,O
اصفهان,I_LOC
،,I_LOC
اصناف,I_PER
مخدر,I_ORG
خبرگزاری,B_ORG
و,O
گفت,O
اقامیری,I_PER
سامانه,O
ريیس,B_PER
از,O
ایسنا,B_ORG
عکس,I_EVE
مجلس,I_ORG
با,O
،,I_LOC
دولت,B_ORG
اسلام,I_PER
می,O
شده,O
پاس,O
سالیوان,I_PER
شنبه,B_DAT
ایران,B_NAT
کانون,B_ORG
احمدزاده,I_PER
راهبردی,I_ORG
۶۰,O
سال,I_DAT
عصر,B_TIM
مازندران,I_ORG
عراق,B_LOC
ترافیک,O
و,I_EVE
تاسی,O
اینکه,O
اقام,B_PER
اتحادیه,B_ORG
پوست,O
کیلو,O
کرده,O
ثبت,O
کانال,O
۲۰۱۵,I_DAT
های,O
دیماه,I_EVE
روسیه,B_NAT
تروریستی,I_ORG
مهر,I_ORG
بر,O
بنیاد,B_ORG
برنامه,I_ORG
از,O
ایران,B_LOC
امنیت,O
بزرگ,I_NAT
صلح,I_ORG
اجازه,O
داده,O
اسکو,B_mainLOC
؛,I_ORG
سلیمانی,B_PER
شده,O
ho,I_PER
صبح,B_DAT
انگیزه,O
علی,B_PER
یاد,O
برنامه,O
ابتلا,O
استکی,I_PER
در,O
پایگاه,B_LOC
پایین,O
بابل,B_LOC
ها,O
در,O
گرفتیم,O
با,O
است,O
سقف,O
فرماندار,O
اذر,I_TIM
تسلیحاتی,I_mainLOC
ایران,B_LOC
بن,I_PER
نظامی,O
کجا,O
انتظامی,I_PER
داشت,O
های,I_DAT
ریاست,B_ORG
علما,O
حسین,I_PER
"""",I_EVE
۴۶۰,O
سیستان,I_PER
به,O
مشکلات,O
۱۴۰۰,I_DAT
جهانی,I_PER
روز,B_DAT
دستیار,O
و,I_ORG
نبی,B_PER
رضا,B_PER
به,O
نسب,I_PER
الملک,I_PER
قانون,O
ها,I_DAT
گذشته,I_DAT
۱۳۹۳,I_DAT
هفتاد,I_DAT
قصرشیرین,B_LOC
فرهنگ,O
تکریم,I_EVE
قمری,I_DAT
ایران,B_LOC
مجلس,B_ORG
فضای,O
سرلک,I_PER
سبزی,I_PER
رده,O
یکشنبه,I_TIM
مخالف,O
رغم,O
پور,I_PER
رویداد,B_ORG
ماه,B_DAT
دولت,B_ORG
مسيولین,O
کاهش,O
عملیات,O
اصلح,O
##نع,I_PER
،,I_ORG
استان,B_LOC
مذاهب,O
اند,O
دیر,O
شورای,B_ORG
نقدی,O
قالیباف,B_PER
ها,O
معرفی,O
مواسات,O
ما,O
سازندگی,I_ORG
دارایی,I_ORG
اساسنامه,O
۴۵,O
از,O
با,O
روز,B_EVE
۲۵,O
جاهلان,B_PER
بهمن,I_DAT
فرهنگی,I_ORG
ندهند,O
قاسمی,I_PER
بین,I_EVE
امام,B_PER
سلیمانی,B_PER
است,O
ساسان,B_PER
##ورای,I_PER
شهرستان,I_LOC
داخل,O
سوی,O
یا,O
واکسن,O
ضعف,O
در,O
اتش,I_ORG
دبیرخانه,O
مجمع,O
محسن,B_PER
غیردولتی,O
شده,O
الرمادی,I_PER
حج,I_ORG
به,O
،,O
می,O
برای,O
کردستانی,B_NAT
در,O
ابادان,I_ORG
قدس,I_LOC
تخت,B_PER
اگر,O
روز,I_DAT
قمری,I_DAT
سنندجی,B_NAT
و,O
خمینی,I_PER
مجلس,B_ORG
مشکلات,O
پیروزی,O
پزشکی,I_ORG
های,O
پیشرفته,O
وی,O
دوم,O
،,O
ظریف,I_PER
مهدی,B_PER
نهاده,I_EVE
وگو,I_EVE
ازاد,I_ORG
و,O
چارچوب,O
پرداخت,O
قضاییه,I_ORG
به,O
کافی,O
کمیساریای,B_ORG
شخصیت,O
دینی,I_ORG
ماسک,O
شرکت,O
با,O
هود,O
کمیته,B_ORG
رضوان,B_PER
اب,O
گرمسار,B_LOC
بدترین,O
ایران,I_NAT
خود,O
که,O
المپیک,B_EVE
مسکو,B_mainLOC
باهوش,O
نه,O
را,O
گذشته,I_TIM
تشکیل,O
برجام,B_EVE
ریاست,I_ORG
روز,B_DAT
این,O
گفت,O
مواجه,O
،,O
،,O
وگو,O
یازدهم,O
ایراد,O
جدید,O
انتظامی,O
سازمان,B_ORG
نموده,O
متفکر,O
این,O
این,O
معیشتی,O
و,I_EVE
استان,I_ORG
المپیاد,B_EVE
علی,I_PER
نیروهای,B_ORG
زوج,O
گذشته,I_DAT
تنها,O
تامین,B_ORG
طالبان,B_ORG
این,O
امریکا,B_LOC
سوى,O
امروز,B_DAT
ع,I_PER
و,O
و,O
سفارتخانهها,O
سرابی,I_PER
جنگل,I_LOC
نظارت,O
مقدس,I_EVE
شیرکوه,I_LOC
،,I_PER
میهن,B_ORG
شده,O
مبارک,I_EVE
طرح,B_EVE
سال,B_DAT
علی,B_PER
##و,I_PER
در,O
ایسنا,B_ORG
بحران,B_EVE
،,O
ع,I_ORG
نقشی,O
از,O
بن,I_LOC
و,I_DAT
استمرار,O
:,O
نظیر,O
خمینی,I_PER
می,O
خبرگزاری,B_ORG
موضوعات,O
خود,O
حل,O
سوچی,B_PER
کسب,B_ORG
و,I_ORG
خبرنگار,B_PER
دی,I_DAT
اسلام,I_PER
،,I_PER
خبرگزاری,B_ORG
و,I_LOC
لامرد,B_LOC
میراب,B_PER
۹۷۰,O
از,O
بودجه,O
پرسپولیس,B_ORG
##گان,I_ORG
برگشتی,O
دیجیتال,O
دارد,O
سایپا,B_ORG
فرابورس,I_EVE
است,O
به,O
تکیه,O
قدر,I_EVE
کی,O
اخیر,I_DAT
ارای,O
بسیار,O
است,O
خانه,B_LOC
برق,I_ORG
،,O
اموزش,O
خیلی,O
است,O
خبرگزاری,B_ORG
:,O
لاری,I_PER
زرند,I_ORG
توچال,B_mainLOC
و,I_ORG
دوباره,I_ORG
اگزمینر,I_ORG
شاهچراغ,B_LOC
گو,O
،,I_PER
سازندگی,I_ORG
طبق,O
به,O
داشت,O
متخصص,O
اصفهان,B_mainLOC
چند,O
درگذشتگان,O
ما,O
پیامبر,B_PER
طاهر,B_PER
ایران,B_mainLOC
محمد,B_PER
پردیس,B_ORG
ظریف,B_PER
انها,O
مالک,I_PER
نیاز,O
رسید,O
صنایع,I_ORG
رسالت,O
(,I_PER
که,O
به,O
پدر,O
قايدی,I_PER
قاسم,I_PER
پایه,O
در,O
تره,I_ORG
جلسه,B_EVE
ريیسی,B_PER
طالقانی,I_ORG
،,O
اسپانیا,B_LOC
سوی,O
کردن,O
ایران,B_LOC
۴۰,I_DAT
و,O
می,O
ادوارد,B_PER
فرهنگ,I_LOC
گهر,I_PER
بر,O
خانواده,I_PER
امنیت,I_ORG
مکه,B_LOC
مسلم,O
تولید,O
کن,O
توقیف,O
گزارش,O
رسانی,O
ایران,B_NAT
های,O
ايمه,B_PER
یک,O
جمهوری,I_EVE
##جان,I_PER
ها,O
عرصه,B_ORG
فعالیت,O
داورى,O
های,I_ORG
تابستان,B_DAT
دانست,O
:,I_LOC
چهارم,B_DAT
گزارش,O
جوانان,I_ORG
نخستین,B_TIM
ارجمند,O
بازگشت,O
دوشنبه,B_DAT
باشگاه,B_ORG
های,O
روزبه,I_mainLOC
شاید,O
بسیج,I_ORG
##زون,I_ORG
بازرگانی,I_ORG
فطر,I_EVE
کرمان,I_ORG
تابناک,B_ORG
نویسنده,O
بیجار,B_LOC
سوال,O
انقدر,O
که,O
دو,B_DAT
علوم,I_LOC
شرکت,B_ORG
بیماری,I_DAT
-,O
ریزی,O
جنوبی,I_LOC
دی,I_DAT
مارلون,B_PER
هدف,O
پرتردد,I_DAT
هیجان,O
سید,B_PER
داخل,O
یوفا,B_ORG
شکل,O
شکرانه,I_EVE
نتیجه,O
بزرگ,O
خون,I_LOC
سیرجان,I_mainLOC
استانی,I_ORG
نهایتا,O
بر,O
دستور,O
خلیج,B_LOC
اذربایجان,B_LOC
مقررات,O
##نی,O
در,O
صورت,O
به,O
عباس,I_PER
شهادت,B_EVE
نشست,O
وقت,I_ORG
جای,O
گام,O
شهرستان,I_PER
پرست,I_PER
؛,O
تامین,O
تابستانی,I_DAT
مسجد,B_LOC
مشهد,B_LOC
رابطه,O
میلیون,O
گرفته,O
وپرورش,I_ORG
از,O
اورژانس,O
واکسن,I_LOC
که,O
فروش,O
۱۳۹۹,I_DAT
کلانتری,B_ORG
حاج,I_PER
با,O
به,O
شوند,O
اذربایجان,I_LOC
در,O
بین,O
،,I_EVE
قم,I_PER
سرواباد,B_LOC
گمرک,I_ORG
۱۳۸۴,B_DAT
نوروزی,I_PER
گفت,O
۱۳,O
دست,O
:,I_LOC
محکم,O
،,O
دهیم,O
سال,O
و,I_ORG
گفت,O
انها,O
شمالی,O
عرب,B_NAT
جهاددانشگاهی,B_ORG
اسلام,O
ملی,I_ORG
می,O
۰۳,I_DAT
استخدامی,I_LOC
مرندی,I_PER
##خرداد,I_DAT
مسيولان,O
در,O
خانی,I_PER
طب,O
امره,I_PER
تیم,B_ORG
عاطفی,I_EVE
رفتارهای,O
مردم,O
شعبان,I_LOC
کند,O
لانس,I_ORG
برای,O
شنبه,O
،,O
بشار,B_PER
فلسطین,I_EVE
شهدای,I_mainLOC
می,O
بیت,I_PER
هگل,B_PER
تلاش,O
مهر,I_ORG
تاکید,O
سازمان,B_ORG
امروز,I_TIM
لا,O
اراک,I_LOC
المللی,I_EVE
،,I_ORG
اخرین,O
ع,I_PER
ویروس,O
تواند,O
کانون,B_ORG
حمایت,O
یا,O
افتاب,O
به,O
است,O
امامت,O
،,I_PER
به,O
جایی,O
هزار,O
قضاییه,I_ORG
محموله,O
در,O
بجنورد,B_mainLOC
در,O
امیرعبداللهیان,I_PER
نایب,O
می,O
مثبت,O
باشگاه,B_ORG
و,I_ORG
برجام,B_PER
تامین,O
ال,I_PER
امسال,B_DAT
سنا,B_ORG
شوراهای,I_EVE
نشسته,O
ازاد,I_ORG
خبرگزاری,B_ORG
هشدار,O
اندازی,O
برتولوچی,B_PER
و,O
علوم,I_LOC
و,O
شده,O
ص,I_ORG
مشهد,B_LOC
تواند,O
همه,O
نخست,B_PER
گوگل,B_ORG
شهرستان,O
ها,I_EVE
##ردی,I_PER
نصیر,I_PER
.,O
ایرانی,I_EVE
کل,I_ORG
بهزیستی,B_ORG
جامع,I_LOC
خمینی,I_ORG
منتقل,O
خبرگزاری,B_ORG
فلسطین,I_EVE
اتاق,I_PER
ماه,B_DAT
ما,I_ORG
هرگز,O
الحشد,B_ORG
خداوند,O
سال,O
-,O
تایید,O
تلویزیون,I_ORG
##زدگان,I_PER
است,O
در,O
دانشگاه,B_ORG
جوادی,I_PER
ممکن,O
تلفیق,I_ORG
پایانی,O
اولیه,I_EVE
درصورتی,O
دستگاه,B_ORG
با,O
اعتقادی,O
استان,I_ORG
اعتقادی,O
تصویب,O
کاشت,O
منتشر,O
اسکوچیچ,B_PER
مجمع,B_ORG
ایران,B_LOC
حمیدرضا,B_PER
زیادی,O
تولید,O
ایران,I_ORG
های,I_EVE
شبستان,I_ORG
عربستان,B_LOC
جامع,I_LOC
شورای,I_PER
انصاری,I_PER
،,I_LOC
این,O
دانشگاه,O
میلیون,O
لرستان,B_LOC
مشروع,O
بابل,B_LOC
رفسنجان,I_ORG
تبصره,O
و,I_EVE
خبرگزاری,B_ORG
تصمیم,O
را,O
سفید,I_mainLOC
ادامه,O
در,O
مصباح,I_PER
و,O
اصفهان,I_LOC
گفت,O
به,O
کهریزک,I_PER
وارد,O
بوشهر,I_mainLOC
سالی,O
است,O
ایران,I_ORG
از,O
اسلامی,I_ORG
فعلی,O
برای,O
کرو,O
و,I_EVE
و,O
شدن,O
سنتی,I_ORG
و,O
پور,I_PER
شرطی,O
جسمانی,O
نحو,O
فقیه,O
حل,I_ORG
۴۵,O
بگذارید,O
های,O
کرونا,I_EVE
بهمن,I_DAT
مجلس,B_ORG
های,I_EVE
تسهیلات,O
اصفهان,I_ORG
کنکور,B_EVE
جلال,B_PER
منطقه,B_LOC
امریکایی,B_NAT
ابتدای,O
رهبری,I_PER
اند,O
دارند,O
کارگری,I_ORG
ایران,B_NAT
داروهای,I_EVE
یوسف,I_PER
،,O
الاسلام,I_PER
؛,O
دارد,O
عروسک,O
مواردی,O
خطاب,O
یاری,O
وی,O
کاربردی,I_ORG
درجه,O
فرهنگی,I_ORG
یکی,O
سپاهان,B_ORG
مسیر,I_LOC
های,O
بودن,O
بحث,O
عباسعلی,B_PER
هایی,O
کمیسیون,O
انها,O
روز,B_DAT
پرداخت,O
فرزین,B_PER
زرد,O
درن,O
ظریف,B_PER
نسل,I_ORG
در,O
تهران,B_LOC
ویژه,O
کم,O
رهبری,I_PER
جنوب,I_ORG
امروز,B_DAT
المللی,O
خلاقیت,O
الله,I_ORG
برگزاری,O
ترین,O
بیت,I_EVE
کنترل,O
"""",O
که,O
دیپلماسی,O
خبرنگار,O
:,O
اسیایی,I_EVE
خبرگزاری,B_EVE
نور,I_PER
نهاد,O
محبوس,O
است,O
خبرنگار,B_PER
ایران,I_LOC
دوم,I_EVE
وارد,O
سیدا,B_PER
مناطق,O
در,O
کار,O
بودیم,O
ایمنا,B_ORG
اهن,I_ORG
.,O
امیری,I_PER
مشهد,B_LOC
حقوق,O
قرانی,I_EVE
جهاد,I_ORG
کنترل,O
قرار,O
بازداشت,O
او,O
اقشار,O
قالب,O
خبرگزاری,B_ORG
امریکا,B_LOC
تواند,O
،,O
از,O
کرامت,I_DAT
یزد,B_LOC
اردن,B_LOC
پلاس,I_ORG
حال,O
سازمان,B_ORG
حسینی,B_PER
از,O
خاطرنشان,O
،,I_PER
یزد,B_LOC
ایران,B_NAT
دولت,B_ORG
جمهوری,B_NAT
داد,O
و,O
خبرنگاران,I_ORG
دی,I_EVE
ازمون,O
اسفند,I_DAT
موفق,O
جلسات,O
سهم,O
زمین,I_LOC
که,O
گفت,O
مانند,O
(,I_PER
و,O
صورت,O
خواهند,O
اداری,O
جامعه,O
:,O
رژیم,B_ORG
.,O
دستور,O
ما,O
سید,I_LOC
سید,B_PER
اشاره,O
انتحاری,O
روحی,O
مقیمی,I_PER
می,O
همکار,O
اهمیت,O
برخی,O
،,O
کرونا,I_ORG
اگر,O
،,O
تهران,I_ORG
خبرنگار,B_PER
لوح,O
مجارستان,I_EVE
اکبر,B_PER
که,O
۱۰۰,O
گیرد,O
ع,I_ORG
برادرهای,O
عمومی,I_ORG
کمیسیون,B_ORG
توکلی,I_PER
وزارت,B_ORG
کرمان,I_LOC
فناوری,I_PER
##r,I_PER
برگزار,O
طبیعت,I_ORG
از,O
کاووس,I_LOC
تورین,I_ORG
،,I_EVE
سعودی,I_ORG
را,O
بیمارستان,B_LOC
کند,O
به,O
برنامه,O
طور,O
:,O
فرانسوی,B_NAT
یکم,I_DAT
جانشین,B_PER
بشری,I_ORG
اروپا,I_ORG
کمیته,B_ORG
قم,B_LOC
بانک,B_ORG
اسلامی,I_ORG
مجلس,B_ORG
برای,O
طبیب,O
قصابی,O
همه,O
ان,O
در,O
جغرافیای,O
او,O
فرهاد,B_PER
سنتر,I_LOC
توسعه,O
های,O
دولت,B_ORG
و,O
ماه,I_DAT
عمومی,O
دانشگاه,B_ORG
ایسنا,B_ORG
سازی,I_PER
روزانه,B_DAT
نماینده,I_PER
دهه,I_EVE
دیگراز,O
مختلف,O
روز,B_DAT
منطقه,I_mainLOC
مالی,I_ORG
مرکز,B_ORG
اسلامی,I_ORG
تا,I_DAT
خانگی,O
سال,I_DAT
نمایش,I_ORG
فرهاد,B_PER
را,O
سرهنگ,B_PER
حسینی,I_PER
انسان,O
،,O
خارج,B_LOC
پیشگیری,I_ORG
و,O
##نبی,I_PER
،,I_mainLOC
یکشنبه,I_DAT
است,O
دستور,O
همراه,O
شفاف,O
میثم,B_PER
یازدهمین,B_EVE
بغدادی,I_PER
برجام,O
و,O
اثرگذاری,O
جمعه,I_DAT
،,O
جای,O
افرینی,O
غرب,B_LOC
بر,I_ORG
سلاح,O
،,O
محکوم,O
چشمان,O
ناگزیر,O
انقلاب,B_EVE
تصمیم,O
امریکایی,B_NAT
صهیونیستی,I_ORG
مدیریت,O
محسن,B_PER
در,O
جزو,O
شورای,I_PER
کنند,O
به,I_TIM
مرتضی,B_PER
روسیه,B_NAT
شود,O
موسسات,B_ORG
است,O
خرداد,I_DAT
اف,O
کانون,B_ORG
هر,O
فقیه,I_PER
را,O
بسیار,O
یواخیم,B_PER
ورامین,I_ORG
مردم,O
زنجان,B_mainLOC
ازادگان,I_LOC
شهرستان,O
بایرن,B_ORG
ای,I_NAT
سایر,O
شهید,I_ORG
و,O
های,O
:,O
جمعه,B_TIM
حضرت,B_PER
بنابراین,O
پادگان,O
این,O
بیماری,I_EVE
گذشته,O
اشوری,I_PER
افزایش,O
با,O
فرمانداری,O
اباد,I_LOC
نتایج,O
پور,I_PER
اگر,O
برسانند,O
افتتاح,B_EVE
بازار,O
شهرک,B_LOC
در,O
امریکا,B_LOC
کرد,O
و,I_EVE
جنوبی,I_ORG
به,O
مجلس,I_ORG
شام,I_PER
اغاز,O
کمک,O
و,O
زهرا,B_PER
وضعیت,O
گفت,O
اما,O
خبرنگار,B_PER
"""",O
چه,O
است,O
تبلیغات,I_ORG
رشد,O
همسان,O
تصریح,O
فرهنگی,I_PER
مدت,O
عجل,O
اسفندماه,B_DAT
ها,O
تا,O
هم,O
به,O
:,O
است,O
شبکه,B_ORG
پارلمان,O
غیر,O
سمت,I_DAT
تهران,B_LOC
مستثنا,O
،,I_ORG
محدث,I_PER
استان,B_mainLOC
یووه,B_ORG
۱۴۰۰,I_DAT
##دی,I_PER
بود,O
و,I_EVE
فرهنگ,I_ORG
استاندار,B_PER
قانون,O
خاتم,I_ORG
و,I_LOC
شهرکرد,B_mainLOC
کرونا,I_EVE
امارات,B_LOC
:,O
اشاره,O
مردان,O
دومین,I_DAT
شد,O
به,O
سه,B_DAT
در,O
می,O
اسرايیل,B_LOC
حسن,B_PER
به,O
جریان,B_ORG
شعبان,I_DAT
موارد,O
بانک,B_ORG
تیتراژ,O
بیشتر,O
ایران,B_mainLOC
علاوه,O
بیماران,O
سیستم,O
معاونت,B_ORG
ترامپ,B_PER
اشاره,O
پلیس,B_ORG
توانیم,O
جهاد,I_ORG
نظارت,I_ORG
همه,O
ورزشگاه,B_LOC
دارد,O
که,O
کرمانی,B_NAT
کسی,O
محمد,B_PER
صورت,O
اطلاع,I_ORG
تبریز,B_ORG
ووشو,I_ORG
هیيت,B_ORG
شده,O
که,O
ایران,B_NAT
از,O
هشتمین,O
قهرمانی,I_ORG
جام,B_EVE
امروز,B_DAT
ایران,B_ORG
این,O
هاشم,I_PER
گفت,O
قرمز,O
-,I_mainLOC
دارایی,O
میراث,I_PER
شورای,B_ORG
جنگل,I_ORG
که,O
منجر,O
هماهنگی,I_ORG
خوزستان,B_mainLOC
اکرم,I_PER
نداده,O
سعادتمند,O
حزب,B_ORG
از,O
انگلیسی,B_NAT
،,O
ایتم,O
مهمی,O
ولادت,I_EVE
علی,B_PER
پنس,B_PER
پزشکی,I_ORG
بیمارستان,B_LOC
سریال,O
شمسی,I_DAT
سلامت,O
فاک,O
غذا,O
دوشنبه,I_DAT
پروژه,I_ORG
اهواز,B_mainLOC
به,O
شوهر,O
پاکستان,B_LOC
با,O
استان,B_LOC
شورای,I_ORG
از,O
تعلیق,O
دست,O
استان,B_LOC
اصناف,I_PER
و,O
با,O
دولت,B_ORG
نشست,O
طی,O
خوانی,O
گتوند,I_PER
حساب,O
تر,O
تندگویان,I_LOC
شهید,B_PER
میزان,O
،,O
دو,O
و,O
تومان,O
دیوید,B_PER
رسانی,I_ORG
و,O
به,O
داشته,O
از,O
سالگی,I_DAT
زم,I_PER
دولتی,O
اکبری,I_PER
سیل,O
ایران,B_LOC
گاه,O
لقب,O
صنایع,I_ORG
سوی,O
فرماندار,B_PER
هماهنگی,O
کارشناسان,O
افزایش,O
و,O
مسایل,O
فرهنگ,O
الهی,O
فروش,O
فرهنگی,I_ORG
داده,O
کارگروه,O
می,O
امن,O
خبرگزاری,O
توانمند,I_LOC
در,O
و,O
کنند,O
یاران,O
وی,O
۳,O
مولایی,B_PER
خیرین,I_ORG
افروز,I_PER
ایرانشهر,B_LOC
ایران,I_NAT
و,O
دفاع,I_DAT
نسب,I_PER
کاترین,B_PER
فرهنگی,I_PER
مرکزی,I_ORG
فعالان,B_ORG
محمود,B_PER
دوره,O
اپل,B_ORG
۲۰۱۳,I_DAT
سالن,B_LOC
در,O
ايین,O
افزار,O
پروژه,O
صنفی,O
خمینی,I_ORG
بلم,B_PER
و,O
سه,O
نسبت,O
برخلاف,O
کرد,O
باید,O
حمیدرضا,B_PER
دانشگاه,B_ORG
زیست,I_ORG
فتا,I_ORG
هرماه,I_DAT
تبریز,B_mainLOC
نم,B_ORG
های,O
ستاد,B_ORG
به,O
عملیات,B_EVE
به,O
انتظامی,I_PER
نیک,B_PER
،,I_ORG
تعداد,O
اذر,I_DAT
اعتصاب,O
هزار,O
انباشته,O
احساس,O
علی,B_PER
حسینیه,B_LOC
مدیرعامل,O
مرکزی,B_LOC
است,O
نهم,B_DAT
،,O
ما,O
و,O
همین,O
،,I_PER
اسلامی,I_ORG
نو,I_ORG
این,O
زدن,O
سیاست,O
نجف,B_LOC
ناصر,B_PER
حافظه,O
یک,O
مجلس,B_ORG
##ه,I_DAT
ساعت,B_TIM
یزد,I_ORG
اینکه,O
بتوانیم,O
طولانی,O
بهمن,I_mainLOC
کتایون,B_PER
های,O
منتشر,O
فرصت,O
مفتح,I_LOC
،,I_PER
زیربنای,O
امام,B_PER
ان,O
باشد,O
کیوان,B_PER
اطفاء,O
فضلی,I_PER
فارغالتحصیلان,O
برخی,O
فلسطین,I_ORG
فارس,I_ORG
نامزدها,B_PER
پلیسی,I_ORG
دهند,O
گوگل,B_ORG
سحر,B_PER
کمیته,B_ORG
شماره,O
است,O
به,O
فرانسه,I_ORG
و,I_ORG
حبیبی,I_PER
تدارک,O
بلوچستان,I_LOC
واکسینه,O
معظم,I_PER
سیما,I_ORG
مولوی,O
،,O
استانه,B_LOC
برجسته,O
متاسفانه,O
نشویم,O
ع,I_PER
و,I_PER
تا,O
را,O
علاوه,O
.,O
در,O
سازمان,I_ORG
صهیونیستی,I_ORG
معتقدند,O
و,O
به,O
نوازان,O
خوزستان,B_LOC
پایان,O
فرهنگ,I_PER
عضو,O
کند,O
الصنا,B_LOC
هم,I_EVE
عرب,B_PER
محمدمهدی,B_PER
متوفی,O
جاکارتا,I_EVE
گفت,O
،,O
شدم,O
قلب,O
روابط,B_ORG
حکام,I_ORG
بیدگل,I_LOC
کبودراهنگ,I_PER
قضاء,I_ORG
ورودی,O
ورزشی,I_EVE
حضرت,B_PER
##از,I_ORG
تراوی,O
در,O
دو,I_PER
هرمزگان,I_ORG
مبادی,B_mainLOC
مخابرات,O
گفت,O
و,O
واکسن,I_LOC
طرح,O
تهران,I_LOC
ایرنا,B_ORG
حسینی,B_PER
خبرنگار,B_PER
گروه,B_ORG
جزایر,O
روابط,B_ORG
ارامکو,B_ORG
امام,B_PER
گستره,B_ORG
وحدت,I_LOC
وین,B_LOC
:,O
رافا,O
شد,O
اسلامی,I_ORG
برعکس,O
نیا,I_PER
و,I_ORG
براورده,O
،,O
از,O
تنفسی,O
فولاد,B_ORG
مدرسه,B_LOC
محجوب,B_PER
بتواند,O
برق,I_ORG
تحت,O
ريیس,O
فرهنگی,I_EVE
بیشتر,O
نیوز,I_ORG
نخواهند,O
حساب,O
می,O
روحانی,B_PER
معروف,O
سایر,O
اتحادیه,I_ORG
معاون,O
عباسی,B_PER
خامنه,I_PER
اسلامی,I_ORG
کرد,O
احسن,O
قاسم,I_PER
سازی,O
رسیدن,O
است,O
مجموعه,O
کرده,O
تالاب,B_LOC
خیابانی,I_EVE
و,I_PER
ساخت,O
:,O
تکرار,O
بار,O
فاصله,O
خود,O
کرونا,I_PER
و,O
مهدی,B_PER
بانک,I_ORG
کرونا,O
طاهره,I_PER
فعالان,B_ORG
ایران,I_NAT
فیلم,O
موثرترین,O
است,O
اهن,I_ORG
یحیی,B_PER
گروه,O
کوتاه,O
بگذاریم,O
بحرانی,O
ایتمی,O
کند,O
توان,O
دانشجو,O
درصد,O
هتک,O
اشتباهات,O
و,O
پیش,O
##سف,I_PER
نمایندگان,B_PER
رهبر,B_PER
فرزانه,I_PER
استقلال,B_ORG
دوم,O
نظام,I_ORG
غزه,I_mainLOC
مجازی,O
کتابهای,O
،,O
ساعت,I_TIM
مهدی,B_PER
و,O
و,O
دو,B_EVE
نظارت,I_ORG
های,O
fda,I_ORG
کلینیک,B_LOC
خصوص,O
نماز,I_LOC
اشاره,O
.,O
دهند,O
سرانجام,O
علیزاده,I_PER
؛,O
کرمانشاه,B_LOC
این,O
انتشار,O
دانشگاه,B_ORG
ارومیه,B_LOC
دارند,O
بافقی,I_PER
شورای,B_ORG
حداقل,O
سعد,B_PER
گرفته,O
هیک,I_PER
خط,O
در,O
زبان,O
س,I_PER
کاشان,B_mainLOC
،,O
نورعلی,B_PER
عمومی,I_EVE
است,O
بهره,O
یا,O
را,O
درحال,O
به,O
قلی,B_PER
مراکز,O
امده,O
سال,I_DAT
علی,B_PER
گذشته,O
